mq,mq_start,time_rel,velocity,velocity_processed
0,0,0.0,0.0,0.0
0,0,0.05,0.0001281992489845852,0.0
0,0,0.1,0.0007034487772711196,0.0
0,0,0.15,-0.0011240319432977983,0.0
0,0,0.2,-0.003984772673088105,0.0
0,0,0.25,-0.00026186261661039054,0.0
0,0,0.3,-0.00759562415940027,0.0
0,0,0.35,-0.008470635304878509,0.0
0,0,0.4,-0.000988258230857678,0.0
0,0,0.45,-0.03411315669131434,0.0
0,0,0.5,-0.03066711689374445,0.0
0,0,0.55,-0.012285248325135114,0.0
0,0,0.6,-0.06135478831346773,0.0
0,0,0.65,-0.03411387670561113,0.0
0,0,0.7,-0.00871361429238611,0.0
0,0,0.75,-0.04436960787730405,0.0
0,0,0.8,-0.006527818347217146,0.0
0,0,0.85,-0.030826174229517136,0.0
0,0,0.9,-0.009848660445661453,0.0
0,0,0.95,0.09576942666764626,0.0
0,0,1.0,0.03739712123832264,0.0
0,0,1.05,0.011751756909924374,0.0
0,0,1.1,0.07749774849708875,0.0
0,0,1.15,-0.016246860603557848,0.0
0,0,1.2,-0.15231330345967642,0.0
0,0,1.25,-0.13251723335243001,0.0
0,0,1.3,-0.08857179399471059,0.0
0,0,1.35,-0.14421109202369228,0.0
0,0,1.4,-0.2635099005026961,0.0
0,0,1.45,-0.19049849259861093,0.0
0,0,1.5,0.05775480338947307,0.0
0,0,1.55,-0.2269230742988886,0.0
0,0,1.6,-0.2613596416495587,0.0
0,0,1.65,0.03851787460347087,0.0
0,0,1.7,-0.28412415445655054,0.0
0,0,1.75,-0.1085610609967543,0.0
0,0,1.8,0.014707132339618931,0.0
0,0,1.85,-0.0693135717091375,0.0
0,0,1.9,0.2637399717719262,0.0
0,0,1.95,-0.20754482387474432,0.0
0,0,2.0,-0.20316660076882215,0.0
0,0,2.05,0.4506161617323337,0.0
0,0,2.1,0.03610764000134854,0.0
0,0,2.15,-0.3406412453385203,0.0
0,0,2.2,0.12227332235776116,0.0
0,0,2.25,0.041038688632348726,0.0
0,0,2.3,-0.3296838666683053,0.0
0,0,2.35,-0.18667123674438377,0.0
0,0,2.4,-0.5892532848525769,0.0
0,0,2.45,-0.6255380874311245,0.0
0,0,2.5,-0.2591900024368401,0.0
0,0,2.55,-0.5294098972816303,0.0
0,0,2.6,-0.3320013486509609,0.0
0,0,2.65,0.18887241726400736,0.0
0,0,2.7,-0.21975493293344286,0.0
0,0,2.75,-0.5442362985808101,0.0
0,0,2.8,0.10588728439817609,0.0
0,0,2.85,-0.9241463095913084,0.0
0,0,2.9,-0.6534643500306492,0.0
0,0,2.95,1.2072898569191153,0.0
0,0,3.0,0.37679602336194234,0.0
0,0,3.05,0.7069356747526767,0.0
0,0,3.1,0.5840314696141519,0.0
