mq,time_rel,velocity,velocity_processed
0,0.0,0.0,0.0
0,0.05,0.0005027416016689591,0.0
0,0.1,0.0036345342776129886,0.0
0,0.15,0.010198349596466729,0.0
0,0.2,0.028213508538335538,0.0
0,0.25,0.029769875003302484,0.0
0,0.3,0.027927240950667266,0.0
0,0.35,0.03989195546092227,0.0
0,0.4,0.05547515629827871,0.0
0,0.45,0.12009067734202757,0.0
0,0.5,0.13634534034165322,0.0
0,0.55,0.15460326516584216,0.0
0,0.6,0.22180550336293212,0.0
0,0.65,0.24420890957571117,0.0
0,0.7,0.28792767525061336,0.0
0,0.75,0.25648642382456466,0.0
0,0.8,0.2307933313914105,0.0
0,0.85,0.2509372046088511,0.0
0,0.9,0.39266159178737403,0.0
0,0.95,0.5735892984967178,0.0
0,1.0,0.30933845313338104,0.0
0,1.05,0.36635229877704456,0.0
0,1.1,0.63066528778772,0.0
0,1.15,0.6035852508270934,0.0
0,1.2,0.9237052335796433,0.0
0,1.25,0.8473665611341928,0.0
0,1.3,0.6845161741884679,0.0
0,1.35,0.9085627294992904,0.0
0,1.4,0.9734443486749744,0.0
0,1.45,1.1966199413053689,0.0
0,1.5,1.087602733754571,0.0
0,1.55,1.0560637649255165,0.0
0,1.6,1.496229399857639,0.0
0,1.65,1.6431453490920669,0.0
0,1.7,1.815879651694437,0.0
0,1.75,1.5916825668026346,0.0
0,1.8,1.1160949793656494,0.0
0,1.85,1.6680893155735643,0.0
0,1.9,2.1583760081561616,0.0
0,1.95,1.708617465138058,0.0
0,2.0,1.6831983412200089,0.0
0,2.05,1.696502651463105,0.0
0,2.1,1.5453039535598898,0.0
0,2.15,2.9661872703465204,0.0
0,2.2,3.630789291724269,0.0
0,2.25,1.9285687906572317,0.0
0,2.3,1.5624194573409764,0.0
0,2.35,2.786985261481373,0.0
0,2.4,3.2465147188513055,0.0
0,2.45,3.280408729526206,0.0
0,2.5,3.59390386650533,0.0
0,2.55,3.2197695546239053,0.0
0,2.6,2.5762350712264777,0.0
0,2.65,4.224669487630353,0.0
0,2.7,5.479842337943319,0.0
0,2.75,4.33364236665602,0.0
0,2.8,3.3159256586102663,0.0
0,2.85,3.373730932751477,0.0
0,2.9,4.435423891577424,0.0
0,2.95,5.333046539308912,0.0
0,3.0,5.310022128293396,0.0
0,3.05,2.981164910981716,0.0
0,3.1,2.4963500793692046,0.0
0,3.15,5.721464128320639,0.0
0,3.2,5.496284765304538,0.0
0,3.25,4.547366665036933,0.0
0,3.3,7.042015434609382,0.0
0,3.35,6.150190140658884,0.0
0,3.4,4.20963188739853,0.0
0,3.45,7.130824621561043,0.0
0,3.5,6.80463844065828,0.0
0,3.55,5.281393157788235,0.0
0,3.6,6.167186238077574,0.0
0,3.65,6.162743462375296,0.0
0,3.7,7.990554647996741,0.0
0,3.75,7.329076334905259,0.0
0,3.8,5.585734305009701,0.0
0,3.85,5.537247119712214,0.0
0,3.9,6.688352222702231,0.0
0,3.95,8.27613747398724,0.0
0,4.0,6.823084374759705,0.0
0,4.05,6.591372717172349,0.0
0,4.1,6.564200654992556,0.0
0,4.15,5.163837716371983,0.0
0,4.2,6.454550957505266,0.0
